,Comparison,Correlation,P_value,Cancer Type
3015,EGFR_proteomics,1.0,0.0,Lscc
7212,PHLDA1_proteomics,0.7134204152693155,4.569893053960775e-18,Lscc
7214,PHLDA3_proteomics,0.6820335902295296,4.419686460240443e-16,Lscc
5201,LANCL2_proteomics,0.5758171115708379,7.052402810902953e-11,Lscc
4835,ITGB4_proteomics,0.566094615355106,1.7159847624533803e-10,Lscc
4685,IL1RAP_proteomics,0.5534365530380927,5.234538177544528e-10,Lscc
1892,CHCHD2_proteomics,0.5423067079458568,1.34382550074081e-09,Lscc
4815,ITGA2_proteomics,0.5371518411820837,2.0558104110002935e-09,Lscc
10468,TRIM29_proteomics,0.5269577117251991,4.667798082677151e-09,Lscc
2335,CSNK1A1_proteomics,0.5252979469746348,5.320925606447367e-09,Lscc
1714,CDCP1_proteomics,0.5252347247037491,5.347460439763958e-09,Lscc
3480,FAT2_proteomics,0.5128053584902297,1.394486697381153e-08,Lscc
6433,NECTIN1_proteomics,0.5088502838248644,1.8767747959493848e-08,Lscc
8360,RIN1_proteomics,0.5064940073772978,2.2360836150237895e-08,Lscc
5955,MPZL2_proteomics,0.5038370480913837,2.720097568326946e-08,Lscc
8940,SESN3_proteomics,0.5037323261705324,2.741092280153282e-08,Lscc
3132,ENDOD1_proteomics,0.49895032809989276,3.883427016461986e-08,Lscc
976,BAG3_proteomics,0.4989307522008832,3.888926493543259e-08,Lscc
3762,FZD6_proteomics,0.4983327450139829,4.060557557525951e-08,Lscc
1782,CELSR1_proteomics,0.49791620224716265,4.184359138451744e-08,Lscc
7213,PHLDA2_proteomics,0.5530974075537096,4.8723477732590235e-08,Lscc
5176,LAD1_proteomics,0.49100726573125436,6.846288556227233e-08,Lscc
5143,KRT5_proteomics,0.49022819937552287,7.232225016619754e-08,Lscc
7797,PSIP1_proteomics,-0.48619935721039953,9.582894192173089e-08,Lscc
5187,LAMB3_proteomics,0.485619967177139,9.975739077775575e-08,Lscc
8969,SFN_proteomics,0.48336549581404387,1.1655552687545038e-07,Lscc
9540,SRC_proteomics,0.4807984500430953,1.3896409552410426e-07,Lscc
7640,PPP4R1_proteomics,0.4727183452842625,2.3947058916533186e-07,Lscc
5190,LAMC2_proteomics,0.4719490028848538,2.5202341333312657e-07,Lscc
5819,MICALL1_proteomics,0.4698161674597923,2.901824926343534e-07,Lscc
4839,ITGB8_proteomics,0.4684109228653611,3.182638059709285e-07,Lscc
510,ANKRD50_proteomics,0.46818306791906317,3.2305394290759853e-07,Lscc
543,ANXA8_proteomics,0.46806470115444015,3.255693335681442e-07,Lscc
3980,GNA15_proteomics,0.4778146183077582,3.3277054283290596e-07,Lscc
10186,TMEM134_proteomics,0.46049482545525183,5.314400465601658e-07,Lscc
