Proteomics,P_Value,Medians,Cancer
ARMH3,5.766739162739872e-07,-0.4051337799246164,Gbm
CUTC,8.514758420578509e-07,-0.5532547699078205,Gbm
CUL2,2.7834772833975867e-06,-0.5863958946593785,Gbm
PIP4K2A,2.7834772833975867e-06,-0.8388820985545764,Gbm
GDI2,2.7834772833975867e-06,-0.610188271828867,Gbm
ANXA7,3.024263354166318e-06,-0.4904899066101099,Gbm
DCTN1,1.5008898009485894e-05,-0.38298750640634,Gbm
PACS2,1.5008898009485894e-05,-0.3862791741217283,Gbm
DOCK5,3.270411674040069e-05,-0.86281890029819,Gbm
ACTR1A,3.847715291074248e-05,-0.4911259174744436,Gbm
BORCS7,6.82085451446196e-05,-0.4286028991800581,Gbm
NHLRC2,8.908420321202958e-05,-0.4323391099631409,Gbm
ABRAXAS2,0.00017590677488208597,-0.3192491226979453,Gbm
PDZD8,0.00017674880317288422,-0.4442598131900591,Gbm
TTI2,0.00018246316872320105,0.3681868124475024,Gbm
EIF5B,0.00018246316872320105,0.3920124693560139,Gbm
HAGH,0.00020318054232371988,-0.6016187603764556,Gbm
ATE1,0.00022507201402167902,-0.3782040342065589,Gbm
DCTN4,0.0002501062995320566,-0.3621403649312675,Gbm
MEPCE,0.0002501062995320566,0.3901390060351441,Gbm
DOCK1,0.0002501062995320566,-0.4445033914563004,Gbm
PPM1G,0.0002501062995320566,0.5742656729739299,Gbm
CDK18,0.0002501062995320566,-0.8602582164171539,Gbm
STAM,0.0002501062995320566,-0.591531385772912,Gbm
ANKRD17,0.0002501062995320566,0.29168315845033954,Gbm
USP54,0.0002758164477289858,-0.5871442067152436,Gbm
ADAM10,0.0002758164477289858,-0.5166038311790795,Gbm
PPIG,0.0002758164477289858,0.486645321049424,Gbm
RABGGTB,0.0002758164477289858,-0.271572669319554,Gbm
FAM49B,0.00027671583169833593,-0.5683652465577332,Gbm
PLEKHB1,0.00029269650886779594,-1.046206409207111,Gbm
MAPK3,0.00034086856937722693,-0.6651049672988946,Gbm
DCTN6,0.00035021982592617096,-0.29149198815814903,Gbm
INPP5F,0.00037267515171568775,-0.4979467501018776,Gbm
RABGGTA,0.0003736458031645535,-0.34407553479442066,Gbm
SEMA7A,0.000389158511977081,-0.8348579315947146,Gbm
EIF2S2,0.00043370946255355216,0.3234582325974178,Gbm
CASP2,0.0004357814500673585,0.4139271504405456,Gbm
RBP7,0.0004357814500673585,-0.6786073211856101,Gbm
LIPE,0.0004357814500673585,-0.3883654038670028,Gbm
HERC4,0.0004357814500673585,-0.3635233120773429,Gbm
DEPTOR,0.0004357814500673585,-0.7270441409950436,Gbm
PRKDC,0.0004357814500673585,0.4673597642944506,Gbm
ABHD6,0.00046591735095426076,-0.6102542626463034,Gbm
MINDY1,0.00047509824452256384,-0.6319573589664325,Gbm
NCBP2,0.0005081460697384607,0.5713109576536639,Gbm
TMCC2,0.0005236295364043763,-0.7360387938194519,Gbm
DCTN3,0.0005973943329514466,-0.3535030102807755,Gbm
VPS26A,0.0006218184807157023,-0.3726257034424015,Gbm
SSB,0.0006218184807157023,0.5349652434758666,Gbm
ELMO1,0.0006218184807157023,-0.7064987971360025,Gbm
BRCC3,0.0006218184807157023,-0.2244976777804412,Gbm
NUP205,0.0006218184807157023,0.3221240287200276,Gbm
KXD1,0.0006218184807157023,-0.3460024847180629,Gbm
EIF4G1,0.0006218184807157023,0.4023805818847615,Gbm
RPS5,0.0006218184807157023,0.497577908360069,Gbm
SGCD,0.0006218184807157023,-1.013305887886234,Gbm
KLK6,0.0006218184807157023,-0.9655816311612928,Gbm
HDAC5,0.0006218184807157023,-0.359660892103481,Gbm
ADO,0.0006218184807157023,-0.537734831228088,Gbm
DENND1A,0.0006218184807157023,-0.23785148821905086,Gbm
PPA1,0.0006290790774708202,-0.4639723914547755,Gbm
CYTH1,0.0006290790774708202,-0.5603851843521271,Gbm
BORCS5,0.0006290790774708202,-0.3066951860755989,Gbm
EI24,0.0006290790774708202,0.522440225021052,Gbm
DNAJB12,0.0006290790774708202,-0.3875659213430376,Gbm
MMS19,0.0006290790774708202,-0.32428672480430704,Gbm
PMP2,0.0006290790774708202,-0.8976186160700544,Gbm
LARS,0.0006290790774708202,0.4332508394337515,Gbm
FAM160B1,0.0006290790774708202,-0.30375368474960296,Gbm
CARNS1,0.000677193458570804,-0.9249794474378391,Gbm
HAT1,0.0006780416554386951,0.5815104259882585,Gbm
YPEL2,0.0006780416554386951,-0.47512961301048495,Gbm
QDPR,0.0006780416554386951,-0.5177524118479475,Gbm
GLTP,0.0006805341361772173,-0.6862168284505473,Gbm
PIP5K1A,0.0006989909130707219,-0.3297892456254968,Gbm
GRWD1,0.0006989909130707219,0.530032311614201,Gbm
AKR1C1,0.0007124844602291688,-1.2795171880770853,Gbm
MKLN1,0.0007517982615298977,0.21641357355484528,Gbm
GPR89A,0.0007652264073662197,0.2648299451095369,Gbm
PDIA2,0.000789079105793208,-0.6148231834097171,Gbm
SHTN1,0.000789079105793208,-0.5915992419522784,Gbm
PRKRIP1,0.0008422845797578959,0.4432217840297285,Gbm
DNAJB4,0.0008566555750722204,-0.4409626913667895,Gbm
POLR1B,0.0009028385194479217,0.4279429487296905,Gbm
U2AF2,0.0009028385194479217,0.5139142621341487,Gbm
LDB3,0.0009205961614882908,-0.6765792856260254,Gbm
SGF29,0.0009390856076091886,0.313492830219253,Gbm
CENPM,0.0009471533504512873,1.0673982746938941,Gbm
LMNB1,0.0009769513343552301,0.6516559644128684,Gbm
FA2H,0.0009769513343552301,-0.6873164796266129,Gbm
LARP7,0.0009769513343552301,0.276510542526428,Gbm
HINT3,0.001041916845444566,-0.5901966660357739,Gbm
ARHGDIA,0.0010623536026817778,-0.3012181968450568,Gbm
ZSWIM8,0.0010761491267149675,-0.2030643358023689,Gbm
EDIL3,0.00107737649024665,-0.7650849814135879,Gbm
PPIP5K1,0.0011011296244914741,-0.4289024390213208,Gbm
SPOCK3,0.001152861594783566,-0.8765290672238791,Gbm
SLC9A9,0.0011667160465750881,-0.5955493781958537,Gbm
PGS1,0.0011667160465750881,-0.4020322807839387,Gbm
XPR1,0.001174680115646242,0.3909296162278745,Gbm
NUP35,0.001174680115646242,0.3083832981295715,Gbm
CLDND1,0.0011891034925277442,-0.485421715173164,Gbm
KCTD5,0.0012300581646833115,0.4779993607250686,Gbm
TPP1,0.001276416649844012,-0.6603892204370041,Gbm
RHOG,0.0012982176870277257,-0.6357868181608781,Gbm
MCM6,0.0013030057537881232,1.0854073030293578,Gbm
MCM4,0.0013030057537881232,1.2364838744723563,Gbm
MAST3,0.0013030057537881232,-0.4595743110352936,Gbm
TMEM259,0.0013030057537881232,0.4538996367275319,Gbm
TANGO2,0.0013030057537881232,-0.521108681658334,Gbm
TSPAN15,0.0013030057537881232,-0.618216282159328,Gbm
SUSD5,0.0013030057537881232,-0.8119613111178401,Gbm
USP25,0.0013030057537881232,-0.1881301886044784,Gbm
MAD2L1,0.0013030057537881232,0.546913936694619,Gbm
PLCL1,0.0013030057537881232,-0.4937994539384736,Gbm
CNTNAP4,0.0013030057537881232,-1.0447550874454279,Gbm
DTL,0.0013030057537881232,0.8221944855973713,Gbm
CNOT3,0.0013030057537881232,0.2491363531472846,Gbm
NAA50,0.0013056595379810653,0.4035870774551527,Gbm
FAM177A1,0.0013110892488554188,-0.4602003985530555,Gbm
SELL,0.001325658159262582,-0.7115678685209035,Gbm
ATG4C,0.0013975019795401619,-0.13670498196054653,Gbm
RARS,0.001424977558283731,0.35512004786879875,Gbm
ASAP1,0.001424977558283731,-0.27844318461983697,Gbm
USP39,0.0014783273425505812,0.4197656966513674,Gbm
GRID1,0.0015051281326125185,-0.7253794306303759,Gbm
CNDP1,0.001542416262707176,-0.888662576986052,Gbm
TSPAN14,0.001542416262707176,-0.5860380598282965,Gbm
LTA4H,0.001542416262707176,-0.3470875955611596,Gbm
PCNA,0.001545340760765996,0.631486413863703,Gbm
ILF3,0.001548615011907505,0.4214956424621741,Gbm
POLD2,0.0016088715372960453,0.4052486600467675,Gbm
MAP1LC3B,0.0016088715372960453,-0.577114476492644,Gbm
RAB8B,0.0016088715372960453,-0.446976426090049,Gbm
GINS3,0.0016428443590552312,0.8944315345010209,Gbm
BZW1,0.0017033971738218718,0.38346314774409,Gbm
GTF2I,0.0017085605504133215,0.54089383129857,Gbm
NIPA1,0.0017085605504133215,-0.3347675921774195,Gbm
DTYMK,0.0017149336223115704,0.4194140615990515,Gbm
REPS2,0.0017274140039643673,-0.6091576729067599,Gbm
TARSL2,0.0017647027423551343,-0.3975468814875881,Gbm
DCTN5,0.001766098318999759,-0.2898255973570384,Gbm
SAAL1,0.0017693206961408238,0.5251692380032473,Gbm
FAM124A,0.0017693206961408238,-0.4833785001043889,Gbm
TCF3,0.0017693206961408238,0.664142961713341,Gbm
SAE1,0.0017693206961408238,0.4701211497404149,Gbm
SPATA13,0.0017693206961408238,-0.5971644970805841,Gbm
EPB41L3,0.0017693206961408238,-1.1701093828326856,Gbm
RANGAP1,0.0017693206961408238,0.2881706067810445,Gbm
