Proteomics,P_Value,Medians,Cancer
ARMH3,5.396031779488979e-11,-0.4051337799246164,Gbm
CUTC,1.5934796333074782e-10,-0.5532547699078205,Gbm
PIP4K2A,1.0094188678363074e-09,-0.8388820985545764,Gbm
CUL2,1.1220764131236789e-09,-0.5863958946593785,Gbm
GDI2,1.3022725196021271e-09,-0.610188271828867,Gbm
ANXA7,1.6979114929351464e-09,-0.4904899066101099,Gbm
DCTN1,1.016639986430336e-08,-0.38298750640634,Gbm
PACS2,1.1235256299792942e-08,-0.3862791741217283,Gbm
DOCK5,2.754159732980314e-08,-0.86281890029819,Gbm
ACTR1A,3.6003698802977896e-08,-0.4911259174744436,Gbm
BORCS7,7.020623155149393e-08,-0.4286028991800581,Gbm
NHLRC2,1.0002904824032515e-07,-0.4323391099631409,Gbm
PTEN,1.219523167774163e-07,-0.511725505875249,Gbm
ABRAXAS2,2.1397848539974907e-07,-0.3192491226979453,Gbm
PDZD8,2.3154142831668191e-07,-0.4442598131900591,Gbm
EIF5B,2.619280002681469e-07,0.3920124693560139,Gbm
TTI2,2.7317401511848197e-07,0.3681868124475024,Gbm
HAGH,3.232028838311255e-07,-0.6016187603764556,Gbm
ATE1,3.7908639023020695e-07,-0.3782040342065589,Gbm
STAM,4.799193283260325e-07,-0.591531385772912,Gbm
DCTN4,5.25634274659359e-07,-0.3621403649312675,Gbm
DOCK1,5.308552363960757e-07,-0.4445033914563004,Gbm
MEPCE,5.345358715119454e-07,0.3901390060351441,Gbm
PPM1G,5.486113626614827e-07,0.5742656729739299,Gbm
CDK18,5.659283339275526e-07,-0.8602582164171539,Gbm
ANKRD17,5.850713472725194e-07,0.29168315845033954,Gbm
ADAM10,7.234269137082467e-07,-0.5166038311790795,Gbm
PPIG,7.333519082186828e-07,0.486645321049424,Gbm
USP54,7.428345054545272e-07,-0.5871442067152436,Gbm
RABGGTB,7.48449235907232e-07,-0.271572669319554,Gbm
FAM49B,7.76782534944332e-07,-0.5683652465577332,Gbm
PLEKHB1,8.490307640031509e-07,-1.046206409207111,Gbm
MAPK3,1.0206600748639713e-06,-0.6651049672988946,Gbm
DCTN6,1.0814311084086874e-06,-0.29149198815814903,Gbm
INPP5F,1.1856419161910156e-06,-0.4979467501018776,Gbm
RABGGTA,1.2236926275624005e-06,-0.34407553479442066,Gbm
SEMA7A,1.3109110537264824e-06,-0.8348579315947146,Gbm
EIF2S2,1.5015673354993386e-06,0.3234582325974178,Gbm
HERC4,1.594665608811402e-06,-0.3635233120773429,Gbm
CASP2,1.6204341713327581e-06,0.4139271504405456,Gbm
LIPE,1.6725388065595356e-06,-0.3883654038670028,Gbm
PRKDC,1.7162270498094852e-06,0.4673597642944506,Gbm
