Proteomics,P_Value,Medians,Cancer
ARMH3,5.396031779488979e-11,-0.4051337799246164,Gbm
CUTC,1.5934796333074782e-10,-0.5532547699078205,Gbm
PIP4K2A,1.0094188678363074e-09,-0.8388820985545764,Gbm
DCTN1,1.016639986430336e-08,-0.38298750640634,Gbm
ACTR1A,3.6003698802977896e-08,-0.4911259174744436,Gbm
PTEN,1.219523167774163e-07,-0.511725505875249,Gbm
ABRAXAS2,2.1397848539974907e-07,-0.3192491226979453,Gbm
EIF5B,2.619280002681469e-07,0.3920124693560139,Gbm
ATE1,3.7908639023020695e-07,-0.3782040342065589,Gbm
DCTN4,5.25634274659359e-07,-0.3621403649312675,Gbm
PPIG,7.333519082186828e-07,0.486645321049424,Gbm
FAM49B,7.76782534944332e-07,-0.5683652465577332,Gbm
DCTN6,1.0814311084086874e-06,-0.29149198815814903,Gbm
HERC4,1.594665608811402e-06,-0.3635233120773429,Gbm
PRKDC,1.7162270498094852e-06,0.4673597642944506,Gbm
NCBP2,2.187210555625451e-06,0.5713109576536639,Gbm
VPS26A,2.9419623962433063e-06,-0.3726257034424015,Gbm
ADO,3.1120172909094816e-06,-0.537734831228088,Gbm
ELMO1,3.1194639219990244e-06,-0.7064987971360025,Gbm
SSB,3.323895500345437e-06,0.5349652434758666,Gbm
CYTH1,3.719186386548139e-06,-0.5603851843521271,Gbm
MMS19,4.040102735616464e-06,-0.32428672480430704,Gbm
GLTP,4.775901582604219e-06,-0.6862168284505473,Gbm
GRWD1,5.036240320618097e-06,0.530032311614201,Gbm
AKR1C1,5.200129867865178e-06,-1.2795171880770853,Gbm
MAST3,1.3155164166338491e-05,-0.4595743110352936,Gbm
USP25,1.373541123211348e-05,-0.1881301886044784,Gbm
MCM6,1.3925676338984356e-05,1.0854073030293578,Gbm
MCM4,1.3971960322097895e-05,1.2364838744723563,Gbm
MAD2L1,1.399448378356767e-05,0.546913936694619,Gbm
SELL,1.5133367215311594e-05,-0.7115678685209035,Gbm
USP39,1.7429516717635753e-05,0.4197656966513674,Gbm
PCNA,1.89426068738042e-05,0.631486413863703,Gbm
RAB8B,2.027173167204617e-05,-0.446976426090049,Gbm
DCTN5,2.363170764638959e-05,-0.2898255973570384,Gbm
SAAL1,2.3978971453969313e-05,0.5251692380032473,Gbm
RANGAP1,2.4794795590302263e-05,0.2881706067810445,Gbm
PI4K2A,2.596032962216032e-05,-0.5580968316034195,Gbm
TFRC,2.900251001876953e-05,0.7459332689316355,Gbm
ACTR10,2.940012784893691e-05,-0.4656434974143857,Gbm
PURB,3.1386357902345355e-05,0.3983225989129025,Gbm
RFC5,3.6689603685473776e-05,0.4816352089078175,Gbm
AMPD3,3.775768829366571e-05,-0.7760122859966825,Gbm
